source.habitat,adults,replicate,proportion,Colonized,Not_colonized
none,0,1,0.615384615,8,5
none,0,2,1,16,0
none,0,3,1,16,0
none,0,4,1,16,0
none,0,5,1,16,0
none,0,6,1,16,0
none,4,1,0.785714286,11,3
none,4,2,0.588235294,10,7
none,4,3,0.866666667,13,2
none,4,4,0.5,8,16
none,4,5,0.533333333,8,15
none,4,6,0.529411765,10,7
natural,0,1,0.125,2,16
natural,0,2,0.133333333,2,15
natural,0,3,0.176470588,3,14
natural,0,4,0.1875,3,13
natural,0,5,0.055555556,1,17
natural,0,6,0.055555556,1,17
natural,4,1,0.0625,1,15
natural,4,2,0.333333333,5,15
natural,4,3,0.285714286,4,10
natural,4,4,0.230769231,3,10
natural,4,5,0.125,2,14
natural,4,6,0.363636364,4,7
artificial,0,1,0.8125,14,2
artificial,0,2,0.764705882,13,4
artificial,0,3,0.933333333,14,1
artificial,0,4,0.7,7,3
artificial,0,5,0.857142857,12,2
artificial,0,6,1,16,0
artificial,4,1,0.526315789,10,9
artificial,4,2,0.25,4,12
artificial,4,3,0.565217391,9,7
artificial,4,4,1,16,0
artificial,4,5,1,16,0
artificial,4,6,0.727272727,8,3
